45
0 26 0 0 8 0 0 2 41 0 21 41 0 0 1 26 0 0 0 0 21 0 0 26 26 41 41 5 13 0 1 13 0 41 0 0 0 13 41 26 0 26 41 26 0
26 0 39 10 0 4 11 26 0 39 0 0 26 26 0 0 26 39 39 1 0 39 39 1 0 0 0 0 0 26 26 0 13 0 13 39 39 0 0 0 11 3 0 0 11
0 39 0 0 41 0 0 0 13 0 41 13 0 0 41 39 0 0 0 0 41 0 1 39 39 25 25 41 41 0 0 41 0 6 0 0 5 41 25 39 0 39 7 39 0
0 10 0 0 26 3 0 0 39 0 26 39 0 0 26 13 0 0 0 7 26 0 0 9 13 39 39 26 26 0 0 26 0 39 0 0 0 26 39 11 1 11 39 13 0
8 0 41 26 0 26 26 3 0 41 0 0 21 13 4 0 21 41 41 26 0 41 41 0 0 0 0 2 0 21 13 1 26 0 26 41 41 0 0 0 26 0 0 0 26
0 4 0 3 26 0 1 0 39 0 26 39 0 0 26 13 0 0 0 3 26 0 0 9 13 39 39 26 26 0 0 26 0 39 0 0 0 26 39 11 0 11 39 13 0
0 11 0 0 26 1 0 0 39 0 26 39 0 0 26 11 0 0 0 0 26 0 0 11 11 39 39 26 26 0 0 26 0 39 0 0 0 26 39 7 6 10 39 11 10
2 26 0 0 3 0 0 0 41 0 21 41 0 0 5 26 0 0 0 0 21 0 0 26 26 41 41 9 13 0 0 13 0 41 0 0 0 13 41 26 0 26 41 26 0
41 0 13 39 0 39 39 41 0 9 0 2 41 41 0 0 41 9 12 39 0 12 13 0 0 0 0 0 0 41 41 0 39 0 39 9 13 0 0 0 39 0 0 0 39
0 39 0 0 41 0 0 0 9 0 41 3 0 0 41 39 0 9 0 0 41 0 0 39 39 12 12 41 41 0 0 41 0 13 0 9 2 41 12 39 0 39 13 39 0
21 0 41 26 0 26 26 21 0 41 0 0 3 21 0 0 8 41 41 26 9 41 41 0 0 0 0 0 0 9 21 0 26 0 26 41 41 0 0 0 26 0 0 0 26
41 0 13 39 0 39 39 41 2 3 0 0 41 41 0 0 41 4 12 39 0 12 13 0 0 0 0 0 0 41 41 0 39 0 39 2 13 0 0 0 39 0 1 0 39
0 26 0 0 21 0 0 0 41 0 3 41 0 0 21 26 2 0 0 1 7 0 0 26 26 41 41 21 21 2 0 21 0 41 0 0 0 21 41 26 0 26 41 26 0
0 26 0 0 13 0 0 0 41 0 21 41 0 0 13 26 0 0 0 0 21 0 0 26 26 41 41 13 4 0 5 10 0 41 0 0 0 2 41 26 0 26 41 26 0
1 0 41 26 4 26 26 5 0 41 0 0 21 13 0 0 21 41 41 26 0 41 41 0 0 0 0 8 0 21 13 0 26 0 26 41 41 1 0 0 26 0 0 0 26
26 0 39 13 0 13 11 26 0 39 0 0 26 26 0 0 26 39 39 13 0 39 39 0 4 0 0 0 0 26 26 0 8 0 1 39 39 0 0 0 11 0 0 4 11
0 26 0 0 21 0 0 0 41 0 8 41 2 0 21 26 0 0 0 0 7 0 0 26 26 41 41 21 21 5 0 21 0 41 0 0 0 21 41 26 0 26 41 26 0
0 39 0 0 41 0 0 0 9 9 41 4 0 0 41 39 0 0 0 0 41 0 0 39 39 12 12 41 41 0 0 41 0 13 0 5 0 41 12 39 0 39 13 39 0
