27
0 28 31 28 1 0 0 31 28 31 28 11 0 0 0 0 31 28 16 9 0 31 11 0 3 0 0
28 0 0 1 29 29 28 0 0 0 5 1 12 16 16 29 0 0 0 28 3 0 0 28 0 28 29
31 0 0 0 20 2 31 0 0 1 0 0 29 29 29 20 0 0 0 31 29 9 0 31 0 31 20
28 1 0 0 29 29 28 0 5 1 0 0 4 12 12 29 0 0 0 28 12 0 0 28 0 28 29
1 29 20 29 0 0 0 9 29 11 29 31 0 0 0 0 11 29 31 0 0 20 31 0 31 0 3
0 29 2 29 0 0 0 20 29 20 29 31 0 0 0 0 20 29 31 0 0 10 31 0 31 0 0
0 28 31 28 0 0 0 31 28 31 28 3 0 0 0 0 31 28 17 0 0 31 2 0 11 0 0
31 0 0 0 9 20 31 0 0 0 0 0 29 29 29 11 0 0 0 31 29 0 0 31 0 31 4
28 0 0 5 29 29 28 0 0 0 1 0 1 12 12 29 0 0 0 28 12 0 1 28 0 28 29
31 0 1 1 11 20 31 0 0 0 0 0 29 29 29 7 2 0 0 31 29 0 0 31 0 31 11
28 5 0 0 29 29 28 0 1 0 0 0 12 16 16 29 0 0 0 28 9 0 0 28 0 28 29
11 1 0 0 31 31 3 0 0 0 0 0 28 28 28 31 0 0 0 11 28 0 5 17 0 17 31
0 12 29 4 0 0 0 29 1 29 12 28 0 0 0 0 29 12 28 0 3 29 28 0 28 0 0
0 16 29 12 0 0 0 29 12 29 16 28 0 0 1 0 29 3 28 0 0 29 28 0 28 1 0
0 16 29 12 0 0 0 29 12 29 16 28 0 1 0 0 29 4 28 0 0 29 28 2 28 0 0
0 29 20 29 0 0 0 11 29 7 29 31 0 0 0 0 10 29 31 0 0 20 31 0 31 0 0
31 0 0 0 11 20 31 0 0 2 0 0 29 29 29 10 0 0 0 31 29 0 0 31 0 31 11
28 0 0 0 29 29 28 0 0 0 0 0 12 3 4 29 0 0 0 28 16 0 0 28 0 28 29
16 0 0 0 31 31 17 0 0 0 0 0 28 28 28 31 0 0 0 16 28 0 0 2 2 4 31
9 28 31 28 0 0 0 31 28 31 28 11 0 0 0 0 31 28 16 0 0 31 11 1 1 0 0
0 3 29 12 0 0 0 29 12 29 9 28 3 0 0 0 29 16 28 0 0 29 28 0 28 0 0
31 0 9 0 20 10 31 0 0 0 0 0 29 29 29 20 0 0 0 31 29 0 0 31 0 31 20
11 0 0 0 31 31 2 0 1 0 0 5 28 28 28 31 0 0 0 11 28 0 0 17 0 17 31
0 28 31 28 0 0 0 31 28 31 28 17 0 0 2 0 31 28 2 1 0 31 17 0 16 8 0
3 0 0 0 31 31 11 0 0 0 0 0 28 28 28 31 0 0 2 1 28 0 0 16 0 16 31
0 28 31 28 0 0 0 31 28 31 28 17 0 1 0 0 31 28 4 0 0 31 17 8 16 0 0
0 29 20 29 3 0 0 4 29 11 29 31 0 0 0 0 11 29 31 0 0 20 31 0 31 0 0
0 0 28 0 0 0 9 28 29 28 12 1 16 0 12 0 0 0 16 0 29 0 6 29 29 28 29
0 0 0 11 17 11 28 6 0 2 0 28 0 31 0 17 31 31 0 31 0 28 28 0 0 6 0
28 0 0 0 10 0 0 17 31 16 28 1 28 0 28 8 0 0 28 0 31 0 0 31 31 17 31
0 11 0 0 16 4 28 2 0 10 1 28 0 31 0 16 31 31 0 31 0 28 28 0 0 0 0
0 17 10 16 0 16 28 0 0 0 0 28 1 31 0 2 31 31 0 31 0 28 28 0 0 2 0
0 11 0 4 16 0 28 0 0 10 0 28 0 31 0 16 31 31 0 31 0 28 28 0 0 0 0
