36
0 30 30 92 6 13 95 76 81 91 37 78 90 64 49 46 19 60 93 35 47 69 54 87 12 39 33 54 12 10 4 88 54 46 82 84
30 0 8 29 10 92 62 62 74 48 22 85 23 3 30 12 98 69 29 61 34 53 98 94 33 77 31 54 71 78 8 78 50 76 56 80
30 8 0 72 26 20 57 39 68 55 71 19 32 87 41 94 21 21 20 61 13 5 46 97 61 8 92 33 73 0 16 73 74 44 55 96
92 29 72 0 67 94 83 28 22 78 55 89 11 99 84 56 30 90 87 80 20 66 59 93 79 80 28 68 99 54 69 99 1 49 63 23
6 10 26 67 0 33 99 40 29 60 95 28 44 30 88 66 9 41 3 4 63 61 87 34 28 55 63 10 78 17 90 0 66 62 30 76
13 92 20 94 33 0 0 91 62 73 38 49 85 86 88 13 71 46 75 98 53 52 10 84 70 44 8 52 59 48 85 29 94 79 4 85
95 62 57 83 99 0 0 31 54 95 75 81 11 56 38 95 37 67 54 88 93 53 44 68 58 98 55 84 76 19 46 89 89 5 23 63
76 62 39 28 40 91 31 0 19 53 20 47 17 66 60 86 14 52 27 77 5 37 27 53 88 84 63 1 26 18 85 59 24 64 81 12
81 74 68 22 29 62 54 19 0 72 32 64 18 79 23 56 63 2 78 3 32 3 2 18 89 50 69 66 20 97 52 81 42 28 71 71
91 48 55 78 60 73 95 53 72 0 53 87 31 36 99 98 38 97 26 31 60 83 43 16 91 96 52 48 12 17 13 35 7 96 17 59
37 22 71 55 95 38 75 20 32 53 0 26 30 43 53 26 37 93 35 49 33 87 55 48 63 81 55 12 28 79 62 63 11 56 0 10
78 85 19 89 28 49 81 47 64 87 26 0 34 1 75 62 33 68 51 53 80 84 40 3 32 27 32 61 27 92 25 2 15 9 30 0
90 23 32 11 44 85 11 17 18 31 30 34 0 97 24 14 10 84 56 83 0 16 67 2 5 98 73 47 81 88 39 46 13 9 89 96
64 3 87 99 30 86 56 66 79 36 43 1 97 0 30 66 37 2 0 1 8 84 99 7 62 58 49 93 47 53 34 39 8 86 18 52
49 30 41 84 88 88 38 60 23 99 53 75 24 30 0 4 95 3 80 9 3 5 26 36 92 8 94 75 8 64 73 47 68 78 8 40
46 12 94 56 66 13 95 86 56 98 26 62 14 66 4 0 6 31 85 47 96 5 98 44 86 0 93 53 16 87 94 23 61 80 35 17
19 98 21 30 9 71 37 14 63 38 37 33 10 37 95 6 0 45 51 26 54 59 57 25 99 87 34 79 24 41 29 7 26 71 36 18
60 69 21 90 41 46 67 52 2 97 93 68 84 2 3 31 45 0 57 16 28 1 24 68 56 81 1 54 22 67 44 6 46 30 0 86
93 29 20 87 3 75 54 27 78 26 35 51 56 0 80 85 51 57 0 73 15 81 68 36 12 65 18 59 93 34 92 82 69 3 24 94
35 61 61 80 4 98 88 77 3 31 49 53 83 1 9 47 26 16 73 0 53 66 98 6 98 30 31 41 74 23 56 15 63 91 67 10
47 34 13 20 63 53 93 5 32 60 33 80 0 8 3 96 54 28 15 53 0 63 5 20 27 20 15 75 56 89 93 60 37 44 41 76
69 53 5 66 61 52 53 37 3 83 87 84 16 84 5 5 59 1 81 66 63 0 25 6 62 60 51 57 79 34 41 82 95 15 94 12
54 98 46 59 87 10 44 27 2 43 55 40 67 99 26 98 57 24 68 98 5 25 0 90 49 82 56 75 39 48 84 15 45 93 74 87
87 94 97 93 34 84 68 53 18 16 48 3 2 7 36 44 25 68 36 6 20 6 90 0 39 10 81 54 80 88 13 62 11 65 72 18
12 33 61 79 28 70 58 88 89 91 63 32 5 62 92 86 99 56 12 98 27 62 49 39 0 81 55 82 20 33 20 77 99 5 70 31
39 77 8 80 55 44 98 84 50 96 81 27 98 58 8 0 87 81 65 30 20 60 82 10 81 0 33 52 47 55 29 74 7 30 64 45
33 31 92 28 63 8 55 63 69 52 55 32 73 49 94 93 34 1 18 31 15 51 56 81 55 33 0 13 7 96 98 47 0 60 94 53
54 54 33 68 10 52 84 1 66 48 12 61 47 93 75 53 79 54 59 41 75 57 75 54 82 52 13 0 6 97 20 94 42 4 30 25
